pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_ALTERNATIVE_PATHWAY	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
BIOCARTA_CLASSIC_PATHWAY	0.0455470989423742	0.106100926848184	0.0297111837603813	-0.908843967150979	-1.38541128170622	2	C3 C2
BIOCARTA_COMP_PATHWAY	0.0455470989423742	0.106100926848184	0.0297111837603813	-0.908843967150979	-1.38541128170622	2	C3 C2
BIOCARTA_EXTRINSIC_PATHWAY	0.747480675057671	0.804979188523646	0.00596098042257203	0.523771884030584	0.809800840594537	2	F3
BIOCARTA_INTRINSIC_PATHWAY	0.0585237258347979	0.106100926848184	0.0259573965344165	-0.825891486164861	-1.41608029492841	3	F5 F8
BIOCARTA_LAIR_PATHWAY	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
BIOCARTA_LECTIN_PATHWAY	0.0455470989423742	0.106100926848184	0.0297111837603813	-0.908843967150979	-1.38541128170622	2	C3 C2
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.262973019158107	0.317381230018405	0.0113785406992697	-0.555310052869307	-1.19516582343576	6	F5 C3 C2 F8
KEGG_LEISHMANIA_INFECTION	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.0455470989423742	0.106100926848184	0.0297111837603813	-0.908843967150979	-1.38541128170622	2	C3 C2
NABA_ECM_REGULATORS	0.838252442800273	0.862906926412046	0.00539521252772585	-0.580822436990714	-0.774726962411383	1	F12
NABA_MATRISOME	0.838252442800273	0.862906926412046	0.00539521252772585	-0.580822436990714	-0.774726962411383	1	F12
NABA_MATRISOME_ASSOCIATED	0.838252442800273	0.862906926412046	0.00539521252772585	-0.580822436990714	-0.774726962411383	1	F12
PID_ERA_GENOMIC_PATHWAY	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
PID_ERB_GENOMIC_PATHWAY	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
PID_INTEGRIN2_PATHWAY	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
REACTOME_ACTIVATION_OF_C3_AND_C5	0.0455470989423742	0.106100926848184	0.0297111837603813	-0.908843967150979	-1.38541128170622	2	C3 C2
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.0788178313729367	0.106100926848184	0.0223895234193196	-0.87934301958307	-1.34044102602006	2	F5 F8
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	0.0788178313729367	0.106100926848184	0.0223895234193196	-0.87934301958307	-1.34044102602006	2	F5 F8
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.0788178313729367	0.106100926848184	0.0223895234193196	-0.87934301958307	-1.34044102602006	2	F5 F8
REACTOME_COMPLEMENT_CASCADE	0.0455470989423742	0.106100926848184	0.0297111837603813	-0.908843967150979	-1.38541128170622	2	C3 C2
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT	0.0788178313729367	0.106100926848184	0.0223895234193196	-0.87934301958307	-1.34044102602006	2	F5 F8
REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B	0.241646226225421	0.302057782781777	0.0123436964782783	-0.879287473943529	-1.17283298714154	1	F8
REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A	0.241646226225421	0.302057782781777	0.0123436964782783	-0.879287473943529	-1.17283298714154	1	F8
REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS_	0.381970940001977	0.44563276333564	0.0093225192071436	-0.717258237563321	-1.09336441692182	2	F8
REACTOME_DISEASE	0.077602030853349	0.106100926848184	0.0224276372936982	-0.8075984935072	-1.38471498014829	3	C3 F8
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.0788178313729367	0.106100926848184	0.0223895234193196	-0.87934301958307	-1.34044102602006	2	F5 F8
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.00783861212796435	0.076974399525551	0.072584835609899	0.996336302191902	1.32892178907874	1	F3
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE_	0.692916329200673	0.757877235063236	0.00644726966569354	0.424239081719606	0.809785294519879	4	F3
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.241646226225421	0.302057782781777	0.0123436964782783	-0.879287473943529	-1.17283298714154	1	F8
REACTOME_GPCR_LIGAND_BINDING	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
REACTOME_HEMOSTASIS	0.692916329200673	0.757877235063236	0.00644726966569354	0.424239081719606	0.809785294519879	4	F3
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
REACTOME_INFECTIOUS_DISEASE	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.0455470989423742	0.106100926848184	0.0297111837603813	-0.908843967150979	-1.38541128170622	2	C3 C2
REACTOME_INNATE_IMMUNE_SYSTEM	0.0455470989423742	0.106100926848184	0.0297111837603813	-0.908843967150979	-1.38541128170622	2	C3 C2
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.381970940001977	0.44563276333564	0.0093225192071436	-0.717258237563321	-1.09336441692182	2	F8
REACTOME_LEISHMANIA_INFECTION	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
REACTOME_MEMBRANE_TRAFFICKING	0.0788178313729367	0.106100926848184	0.0223895234193196	-0.87934301958307	-1.34044102602006	2	F5 F8
REACTOME_NEUTROPHIL_DEGRANULATION	0.0735051670754755	0.106100926848184	0.0234214969135382	-0.962984018697492	-1.28447118455264	1	C3
REACTOME_NGF_STIMULATED_TRANSCRIPTION	0.00783861212796435	0.076974399525551	0.072584835609899	0.996336302191902	1.32892178907874	1	F3
